epoch,policy_loss
0,-212.72786013285318
1000,-256.29356638590497
2000,-299.73730214436847
3000,-335.13335673014325
4000,-366.0904795328776
5000,-393.65980021158856
6000,-418.14860280354816
7000,-438.00256474812824
8000,-456.70278294881183
9000,-471.8705940246582
10000,-487.0769449869792
11000,-501.03916931152344
12000,-514.4316062927246
13000,-525.3027623494467
14000,-537.7554931640625
15000,-545.091002146403
16000,-555.2171821594238
17000,-560.958169301351
18000,-566.1270179748535
19000,-571.2563794453939
20000,-576.3425203959147
21000,-579.7181638081869
22000,-582.5213623046875
23000,-586.0880279541016
24000,-589.9388751983643
25000,-593.2972011566162
26000,-596.7326265970866
27000,-600.71280447642
28000,-604.9291254679362
29000,-608.7804654439291
30000,-611.1820748647054
31000,-615.36354637146
32000,-617.0448905626932
33000,-619.0353750785192
34000,-622.8904806375504
35000,-623.5953520139059
36000,-625.1487345695496
37000,-628.5787828763326
38000,-631.1305103302002
39000,-632.030603090922
40000,-637.5889892578125
41000,-639.625836054484
42000,-643.6150455474854
43000,-644.2460180918375
44000,-646.8808809916178
45000,-650.5818691253662
46000,-652.1913197835287
47000,-652.6031653086344
48000,-653.6770935058594
49000,-654.0966142018636
50000,-654.3824227650961
51000,-654.6852162679037
52000,-652.8773040771484
53000,-652.841381072998
54000,-655.9568837483724
55000,-657.4025751749674
56000,-658.5798174540201
57000,-662.0236117045084
58000,-665.4066098531088
59000,-667.8420346577963
60000,-668.8689664204916
61000,-670.9548517862955
62000,-671.2430089314779
63000,-673.2329483032227
64000,-672.593100229899
65000,-672.2934150695801
66000,-672.4472236633301
67000,-674.0649147033691
68000,-675.2290687561035
69000,-676.0247929890951
70000,-678.5007578531901
71000,-679.1725934346517
72000,-679.3600578308105
73000,-682.1176630655924
74000,-683.5696411132812
75000,-683.2768974304199
76000,-682.58806737264
77000,-684.0011901855469
78000,-683.4591229756674
79000,-680.8901672363281
80000,-680.2466379801432
81000,-681.8101603190104
82000,-681.0296300252279
83000,-678.9948705037435
84000,-677.5124460856119
85000,-677.8609034220377
86000,-676.4830907185873
87000,-677.0983301798502
88000,-679.1500523885092
89000,-677.8201192220052
90000,-679.2021713256836
91000,-679.6946004231771
92000,-680.1398137410482
93000,-681.1797993977865
94000,-682.7238515218099
95000,-683.4369099934896
96000,-684.8601328531901
97000,-685.8635660807291
98000,-686.0354894002279
99000,-684.9020080566406
100000,-684.1468098958334
